duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,attack
12,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43,20,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,cryptomining
10,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53,25,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.0,0.0,cryptomining
12,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23,10,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,cryptomining
10,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,41,0.0,0.0,0.0,0.0,0.03529411764705882,0.0,0.0,0.0,cryptomining
12,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14,6,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,cryptomining
10,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,7,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,cryptomining
14,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,37,0.0,0.0,0.0,0.0,0.03896103896103896,0.0,0.0,0.0,cryptomining
12,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,28,0.0,0.0,0.0,0.0,0.05084745762711865,0.0,0.0,0.0,cryptomining
10,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86,41,0.0,0.0,0.0,0.0,0.03488372093023256,0.0,0.0,0.0,cryptomining
13,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,26,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,cryptomining
10,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,cryptomining
10,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25,11,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,cryptomining
11,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,27,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,cryptomining
12,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51,24,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,cryptomining
13,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,42,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,cryptomining
10,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,3,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,cryptomining
12,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76,36,0.0,0.0,0.0,0.0,0.039473684210526314,0.0,0.0,0.0,cryptomining
11,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57,27,0.0,0.0,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,cryptomining
12,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,40,0.0,0.0,0.0,0.0,0.03614457831325301,0.0,0.0,0.0,cryptomining
10,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,11,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,cryptomining
10,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41,19,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,cryptomining
0,udp,domain_u,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,cryptomining
0,udp,domain_u,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,90,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,cryptomining
0,udp,domain_u,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,98,98,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,cryptomining
0,udp,domain_u,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,cryptomining
0,udp,domain_u,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82,82,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,cryptomining
